UID,V1,V2,COMMENTS
NMZI,zwänggu/-e_zwenggu/-e,,
NNHI,chlemme,,
NNPH,chlü(ü)be,,
NOMA,chnüüble,,
NOQT,chlü(ü)be,,
NPFH,zwänggu/-e_zwenggu/-e,,
NPQC,chlempe,,
NQPL,chlempe,,
NSBJ,zwänggu/-e_zwenggu/-e,,
NUCN,chlemme,,
NUHA,chlü(ü)be,,
NUYJ,SDATS_kneife,,
NVYG,chlü(ü)be,,
NWFD,chlü(ü)be,,
NWTU,chlemme,,
NXDG,chlü(ü)be,,
NYTH,chlü(ü)be,,
NZQW,chlü(ü)be,,
OASX,chnüüble,,
OBMP,chlemme,,
OCBC,chlempe,,
ODPT,zwänggu/-e_zwenggu/-e,,
OEAH,chlemme,,
OEZX,chlü(ü)be,,
OFCF,chnüüble,,
OFFV,chlemme,,
OFQQ,chlü(ü)be,,
OFXV,chlemme,,
OGPV,chnüüble,,
OGQG,chlemme,,
OHPG,zwänggu/-e_zwenggu/-e,,
OIDW,chlempe,,
OKGR,chlemme,,
OKOZ,chlemme,,
OKWW,SDATS_zwicke/zwigge,,zwicke
OLBL,zwänggu/-e_zwenggu/-e,,
OLQM,chlimse,,
OOMM,chlü(ü)be,,
OPGH,zwänggu/-e_zwenggu/-e,,
ORGN,zwänggu/-e_zwenggu/-e,,
ORWP,chlü(ü)be,,
ORZF,chlemme,,
ORZO,chlü(ü)be,,
OSIL,chlü(ü)be,,
OTGL,chlempe,,
OTKB,chlü(ü)be,,
OUQD,chlemme,,
OUZE,chlempe,,
OWGL,chlemme,,
OWIM,chlemme,,
OYFQ,chlü(ü)be,,
OYUZ,chlempe,,
OYYZ,chlemme,,
OZSY,chlemme,,
PCJF,chlü(ü)be,,
PCMF,chlü(ü)be,,
PCNX,chlü(ü)be,,
PDLD,chlempe,,
PEAV,chlü(ü)be,,
PGMA,zwänggu/-e_zwenggu/-e,,
PIVE,chlemme,,
PJCV,SDATS_kneife,,
PLSP,SDATS_kneife,,
PMBH,chlemme,,
PMLQ,chlemme,,
PQFD,chnüüble,,
PRTT,chlü(ü)be,,
PTMF,chlemme,,
PWBS,chlemme,,
PWRG,zwänggu/-e_zwenggu/-e,,
PXDH,chlemme,,
PXYB,chlü(ü)be,,
PYDG,chnüüble,,
PYRT,chlü(ü)be,,
PZKU,chlü(ü)be,,
QAMI,chlimse,,
QBCZ,chlü(ü)be,,
QBYH,chlü(ü)be,,
QDBA,zwänggu/-e_zwenggu/-e,,
QDCG,chlömme,,
QDGR,chlü(ü)be,,
QDGV,chlimse,,
QEOR,zwänggu/-e_zwenggu/-e,,
QFCD,chnüüble,,
QFPK,chlü(ü)be,,
QGPN,chnüüble,,
QKEJ,chlempe,,
QKJG,chlü(ü)be,,
QKOW,chlü(ü)be,,
QKPX,chlü(ü)be,,
QMBF,chlü(ü)be,,
QMGE,chlempe,,
QMNB,SDATS_zwicke/zwigge,,zwicke
QNPX,chnüüble,,
QNXD,chlü(ü)be,,
QOOD,chlemme,,
QOST,chlempe,,
QQKY,chlü(ü)be,,
QRRJ,chlimse,,
QSIC,chlempe,,
QVTY,chlü(ü)be,,
QVWW,chnüüble,,
QVXX,chlü(ü)be,,
QVYB,chlemme,,
QVYF,chlemme,,
QWZT,chlemme,,
QXIH,chlemme,,
QYGT,zwänggu/-e_zwenggu/-e,,
QZDY,zwiirg(g)e,,
