UID,V1,V2,COMMENTS
LSIS,stark verdumpftes a [ɒ],,
LTAQ,leicht verdumpftes a [ɑ̹],,
LTSU,sehr helles a [a],,
LTSZ,neutrales a [ɑ],,
LVGN,neutrales a [ɑ],,
LVXL,neutrales a [ɑ],,
LWCO,sehr helles a [a],,
LYFW,stark verdumpftes a [ɒ],,
LZBT,leicht verdumpftes a [ɑ̹],,
LZBW,sehr helles a [a],,
MAQI,neutrales a [ɑ],,
MAXS,stark verdumpftes a [ɒ],,
MBKO,stark verdumpftes a [ɒ],,
MBVT,neutrales a [ɑ],,
MCEZ,leicht verdumpftes a [ɑ̹],,
MCJN,neutrales a [ɑ],,
MCMB,leicht verdumpftes a [ɑ̹],,
MCQO,neutrales a [ɑ],,
MEFD,stark verdumpftes a [ɒ],,
MEWO,neutrales a [ɑ],,
MGNO,leicht verdumpftes a [ɑ̹],,
MHUD,sehr helles a [a],,
MHXW,sehr helles a [a],,
MIDF,leicht verdumpftes a [ɑ̹],,
MIEI,leicht verdumpftes a [ɑ̹],,
MIIK,sehr helles a [a],,
MIXG,neutrales a [ɑ],,
MJKM,neutrales a [ɑ],,
MKDC,stark verdumpftes a [ɒ],,
MLPB,leicht verdumpftes a [ɑ̹],,
MNJJ,leicht verdumpftes a [ɑ̹],,
MOCP,sehr helles a [a],,
MOHG,leicht verdumpftes a [ɑ̹],,
MPDX,neutrales a [ɑ],,
MQDQ,leicht verdumpftes a [ɑ̹],,
MRDQ,leicht verdumpftes a [ɑ̹],,
MSCO,leicht verdumpftes a [ɑ̹],,
MSOH,stark verdumpftes a [ɒ],,
MWVG,neutrales a [ɑ],,
MXCL,neutrales a [ɑ],,
MXDT,sehr helles a [a],,
MXJS,neutrales a [ɑ],,
MYXS,sehr helles a [a],,
NDVI,leicht verdumpftes a [ɑ̹],,
NDWO,neutrales a [ɑ],,
NDZV,neutrales a [ɑ],,
NEIS,neutrales a [ɑ],,
NFNF,leicht verdumpftes a [ɑ̹],,
NGPR,neutrales a [ɑ],,
NHCM,neutrales a [ɑ],,
NIAP,neutrales a [ɑ],,
NIDZ,leicht verdumpftes a [ɑ̹],,
NIHI,neutrales a [ɑ],,
NJTA,neutrales a [ɑ],,
NLQP,stark verdumpftes a [ɒ],,
NMCH,sehr helles a [a],,
NMUE,leicht verdumpftes a [ɑ̹],,
NMZI,stark verdumpftes a [ɒ],,
NNHI,neutrales a [ɑ],,
NNPH,neutrales a [ɑ],,
NOMA,stark verdumpftes a [ɒ],,
NOQT,sehr helles a [a],,
NPFH,stark verdumpftes a [ɒ],,
NPQC,leicht verdumpftes a [ɑ̹],,
NQPL,neutrales a [ɑ],,
NSBJ,leicht verdumpftes a [ɑ̹],,
NUCN,leicht verdumpftes a [ɑ̹],,
NUHA,leicht verdumpftes a [ɑ̹],,
NUYJ,leicht verdumpftes a [ɑ̹],,
NVYG,sehr helles a [a],,
NWFD,sehr helles a [a],,
NWTU,leicht verdumpftes a [ɑ̹],,
NXDG,sehr helles a [a],,
NYTH,neutrales a [ɑ],,
NZQW,sehr helles a [a],,
OASX,stark verdumpftes a [ɒ],,
OBMP,neutrales a [ɑ],,
OCBC,neutrales a [ɑ],,
