UID,V1,V2,COMMENTS
STGG,0_NA,,
STIG,Bütschgi,,
STWW,Bütschgi,,
SUKO,Gröibschi,,
SUPE,Gröibschi,,
SWXV,Güürbsi,,
SXAH,Bitzgi,,
SXHP,SDATS_Buschi ,,
SXMH,Gröibschi,,
SXOS,Bitzgi,,
SYIN,Bitschgi,,
SYWQ,Grübschi,,
SYZH,Bütschgi,,
SZYP,Grübschi,,
TASM,Gröitschi,,
TBJW,Bitzgi,,
TCBP,Bütschgi,,
TFBR,Gröibschi,,Grööbschi
TFRP,SDATS_Buschi ,,
TFUD,Bätzi,,
TGFZ,Bitschgi,,
THZB,Bitzgi,,
TIBD,Gige(r)tschi,,
TIBR,Bitschgi,,
TIDA,Bitzgi,,
TIEX,Bitzgi,,
TIKO,Bitzgi,,
TIVM,Bitzgi,,
TIXC,Bätzgi,,
TKJD,SDATS_Grotz,,
TMAV,Güürbsi,,gürbschi
TMQT,Bitschgi,,
TMYB,Bütschgi,,
TNUQ,Bütschgi,,
TPJS,Gröibschi,,
TPQP,Bützgi,,
TPTK,Bütschgi,,
TPVA,Gröibschi,,
TQKV,Bitzgi,,
TRDS,Bitzgi,,
TRYJ,Bitschgi,,
TSAA,Güürbsi,,
TSPB,Grübschi,,öpfugrübschi
TTFI,Gröibschi,,
TTIS,Bütschgi,,
TTOF,Bitzgi,,
TUEM,Gröibschi,,
TUNJ,Bitzgi,,
TUSD,Grübschi,,
TUZA,Bütschgi,,
TVAU,SDATS_Gütschgi,,
TVET,Bütschgi,,
TVKA,Bitzgi,,
TVYF,Bätzi,,
TVZQ,SDATS_Birtschi,,bürtschi
TWDN,Bütschgi,,
TWOR,Bütschgi,,
TYCF,Butschgi,,
TYEY,0_NA,,chuntschi? Unverständlich
UAFK,Bütschgi,,
UBKB,Gige(r)tschi,,
UCAX,0_NA,,
UDTD,Grübschi,,
UDXP,Bätzi,,Batzi
UFAM,Bütschgi,,
UFDY,Bütschgi,,
UGBP,Bitzgi,,
UGGO,Bitzgi,,
UGYQ,Gröibschi,,
UHTS,Gige(r)tschi,,
UICW,Bitzgi,,
UIHT,Bütschgi,,
UKEJ,Bütschgi,,
ULLP,Bitzgi,,
UMFL,Bitschgi,,
UNOI,Bütschgi,,
UOAT,Bitzgi,,
