UID,V1,V2,V3,COMMENTS
SOZJ,gunt-e,,,
SPBA,glungge_glügge,,,
SPCF,pfütz-e,,,
SPYB,glungge_glügge,,,
SQAT,pfütz-e,,,
SRJK,gunt-e,,,
SSQE,butz,,,
SSZQ,SDATS_bädere,,,spez. bläde
STGG,gille,,,
STIG,pfütz-e,,,
STWW,pfütz-e,,,
SUKO,glungge_glügge,,,
SUPE,glungge_glügge,,,
SWXV,pfütz-e,,,
SXAH,gunt-e,,,
SXHP,gille,,,
SXMH,glungge_glügge,,,
SXOS,gunt-e,,,
SYIN,gump-e,,,
SYWQ,glungge_glügge,,,
SYZH,pfütz-e,gunt-e,,
SZYP,glunte,,,
TASM,glunte,,,
TBJW,pfütz-e,,,
TCBP,gunt-e,,,
TFBR,glungge_glügge,,,
TFRP,pfütz-e,,,
TFUD,glungge_glügge,,,
TGFZ,gu-u-dle,,,
THZB,glungge_glügge,,,
TIBD,glungge_glügge,,,
TIBR,gu-u-dle,,,
TIDA,gunt-e,,,
TIEX,gunt-e,,,
TIKO,gunt-e,,,
TIVM,pfütz-e,,,
TIXC,glumpe,,,
TKJD,gille,,,gillu
TMAV,glungge_glügge,,,
TMQT,pfütz-e,glungge_glügge,,
TMYB,pfütz-e,,,
TNUQ,pfütz-e,,,
TPJS,glungge_glügge,,,
TPQP,pfütz-e,,,
TPTK,pfütz-e,,,
TPVA,glungge_glügge,,,
TQKV,gunt-e,,,
TRDS,gunt-e,,,
TRYJ,gu-u-dle,,,
TSAA,glungge_glügge,,,
TSPB,glungge_glügge,,,
TTFI,glungge_glügge,,,
TTIS,gunt-e,,,
TTOF,pfütz-e,,,
TUEM,glungge_glügge,,,
TUNJ,pfütz-e,,,
TUSD,pfütz-e,,,
TUZA,pfütz-e,,,
TVAU,gu-u-dle,,,
TVET,pfütz-e,,,
TVKA,gump-e,,,
TVYF,pfütz-e,,,
TVZQ,pfütz-e,,,
TWDN,gunt-e,,,
TWOR,pfütz-e,,,
TYCF,gump-e,,,
TYEY,gille,,,
UAFK,gunt-e,,,günte
UBKB,glungge_glügge,,,
UCAX,gille,,,
UDTD,glungge_glügge,,,
UDXP,gunt-e,,,
UFAM,pfütz-e,,,
UFDY,gunt-e,,,
UGBP,pfütz-e,,,
UGGO,pfütz-e,,,
UGYQ,glungge_glügge,,,
UHTS,glungge_glügge,,,
UICW,lache,,,
UIHT,pfütz-e,,,
UKEJ,pfütz-e,,,
ULLP,gunt-e,,,
UMFL,gump-e,,,
UNOI,glungge_glügge,,,
UOAT,gunt-e,,,
UOSS,gunt-e,,,
UPAW,butz,,,
UQJA,gille,,,
UQKW,glungge_glügge,,,
URJL,glunte,,,
USUU,gunt-e,,,
UUCL,glungge_glügge,,,
UVIA,glungge_glügge,,,
UWMU,gunt-e,,,
UWOZ,glungge_glügge,,,
UWSQ,glungge_glügge,,,
UXEI,glungge_glügge,,,
UZPN,gunt-e,,,
VATG,glungge_glügge,,,
VBQG,pfütz-e,,,
VCMZ,pfütz-e,,,
VCZR,glungge_glügge,,,
VEKJ,glungge_glügge,,,
VETL,pfütz-e,,,
VFBX,gunt-e,,,
VFEX,glungge_glügge,,,
VFKD,pfütz-e,,,
VFLN,pfütz-e,,,
VGMD,glungge_glügge,,,
VGXK,butz,,,
VHUA,glunte,,,
VIKF,glungge_glügge,,,
VITE,glungge_glügge,,,
VIVS,pfütz-e,,,
VJUZ,gunt-e,,,
VJVC,pfütz-e,,,
VJYT,gunt-e,,,
VLFD,glungge_glügge,,,
VMPG,gu-u-dle,,,
VMXT,gunt-e,,,
VNQO,glunte,,,
VOVJ,glunte,,,
VOXQ,gump-e,,,
VOZO,pfütz-e,,,
VPSN,pfütz-e,,,
VQED,lache,,,
VQVH,gunt-e,,,
VRIT,gunt-e,,,
VRKE,gunt-e,,,
VRSA,glungge_glügge,,,
VRST,pfütz-e,,,
VSXG,glunte,,,
VTEA,gunt-e,,,
VUCU,glunte,,,
VUJO,pfütz-e,,,
VUTP,glungge_glügge,,,
VUYF,gunt-e,,,
VVAO,gunt-e,,,
VWOO,glumpe,,,
VXQH,gunt-e,,,spez. goont
VYVF,gunt-e,,,
VZZC,gunt-e,,,
WBHX,pfütz-e,,,
WCAR,pfütz-e,,,
WCPR,glungge_glügge,,,
WCWE,pfütz-e,,,
WDZS,gu-u-dle,,,
WFDO,pfütz-e,,,
WFQK,glunte,,,
WGFT,gille,,,
WHVY,glungge_glügge,,,
WIAS,glunte,,,
WIWF,pfütz-e,,,
WJHB,gu-u-dle,,,
WJWW,pfütz-e,,,
WKBB,gump-e,,,
WLOX,glunte,,,
WNIY,gump-e,,,
WNMA,gunt-e,,,
WOZO,gunt-e,,,
WRWX,pfütz-e,,,
WSZF,gunt-e,,,spez. günte
WTEK,pfütz-e,glunggi,,
WUCN,lache,,,
WUEY,gunt-e,,,
WUQD,gu-u-dle,,,
WVLP,gunt-e,,,
WVTO,pfütz-e,,,
WYIV,pfütz-e,,,
XAEL,gu-u-dle,,,
XBSQ,gille,,,spez. Gillo
XCEL,gille,,,
XCIM,pfütz-e,,,
XDBM,gump-e,,,
XDIE,gille,,,gillu
XDYX,glunte,,,
XEKM,pfütz-e,,,
XEUG,gump-e,,,
XGAA,pfütz-e,,,
XIOT,gunt-e,,,spez. günte
XIUW,gunt-e,,,
XIWJ,gunt-e,,,
XIXL,gunt-e,,,
XJVW,pfütz-e,,,
XMFF,butz,,,
XMXO,pfütz-e,,,
XMZW,pfütz-e,,,spez. pfüzun
XNAU,gu-u-dle,,,
XNEG,glungge_glügge,,,
XNJP,gunt-e,,,
XNVQ,glungge_glügge,,,
XOHE,pfütz-e,,,
XOIQ,glungge_glügge,,,
XPCV,gumpi,,,
XPMD,glungge_glügge,,,
XQGF,glungge_glügge,,,
XQYH,glungge_glügge,,,
XRIV,pfütz-e,,,
XSVA,gump-e,,,
XSXQ,pfütz-e,,,
XTPT,pfütz-e,,,
XTSM,glunte,,,
XUAK,glungge_glügge,,,
XVBP,pfütz-e,,,
XVHT,glungge_glügge,,,
XVRH,glungge_glügge,,,
XVTI,glumpe,,,
