UID,V1,V2,COMMENTS
RAKP,härdöpfel,,
RATN,hördöpfel,,
RBLS,härdöpfel,,
RBOG,häärpfel,,
RCDF,härdöpfel,,
RCFR,härdöpfel,,
RCWY,härdöpfel,,
RDTE,härdöpfel,,
RGML,härdöpfel,,
RGSE,härdöpfel,,
RHJX,hödöpfel,,
RHWR,härdöpfel,,
RHYD,härdöpfel,,
RIOS,härdöpfel,,
RJVT,härdepfel,,
RLFX,härdepfel,,
RLZK,härdöpfel,,
RMKN,härdöpfel,,
RMNW,härdöpfel,,
RMYB,härdöpfel,,
RMZZ,härdepfel,,
RNEW,häppere,,
RNLY,härdöpfel,,
ROMW,härdöpfel,,
ROPY,härdöpfel,,
ROYT,härdöpfel,,
RQHU,härdöpfel,,
RQJR,härdöpfel,,
RRAU,härdöpfel,,
RRDW,häärpfel,,
RRUY,härdöpfel,,
RRWK,härdöpfel,,
RSUK,härdöpfel,,
RVHZ,ä(r)pire_ärdbiere_appiere,,
RVPF,härdepfel,,
RWZQ,härdöpfel,,
RXAO,häbel,,
RXJS,hädöpfel,,
RXSC,hördöpfel,,
RYDG,härdöpfel,,
RZKH,härdöpfel,,
SATI,hädöpfel,,
SAUU,häärpfel,,
SBMK,häärpfel,,
SCON,härdöpfel,,
SCTT,härdöpfel,,
SDOI,härdöpfel,,
SDYX,härdepfel,,
SDYY,gumel(i),,
SFID,härdöpfel,,
SFSY,häärpfel,,
SHDQ,härdöpfel,,
SHOU,härdepfel,,
SIBL,härdöpfel,,
SION,häärpfel,,
SJVF,härdepfel,,
SKNK,härdöpfel,,
SLLT,härdöpfel,,
SNDV,härdöpfel,,
SOKG,härdöpfel,,
SOZJ,härdöpfel,,
SPBA,härdöpfel,,
SPCF,härdöpfel,,
SPYB,härdöpfel,,
SQAT,härdöpfel,,
SRJK,härdöpfel,,
SSQE,härperu,,
SSZQ,härdepfel,,
STGG,härdepfel,,
STIG,härdöpfel,,
STWW,hördöpfel,,
SUKO,härdöpfel,,
SUPE,härdöpfel,,
SWXV,härdöpfel,,
SXAH,härdöpfel,,
SXHP,häärpfel,,
SXMH,härdöpfel,,
SXOS,härdöpfel,,
SYIN,härdöpfel,,
SYWQ,härdöpfel,,
SYZH,hördöpfel,,
SZYP,härdöpfel,,
TASM,häppere,,häppera
TBJW,härdöpfel,,
TCBP,härdöpfel,,
TFBR,härdöpfel,,
TFRP,häärpfel,,
TFUD,härdöpfel,,
TGFZ,härdöpfel,,
THZB,härdöpfel,,
TIBD,härdöpfel,,
TIBR,härdöpfel,,
TIDA,höröpfel,,
TIEX,härdöpfel,,
TIKO,härdöpfel,,
TIVM,härdöpfel,,
TIXC,härdöpfel,,
TKJD,häärpfel,,
TMAV,härdöpfel,,
TMQT,härdöpfel,,
TMYB,gumel(i),,gumelä
TNUQ,SDATS_härdörpfel,härdöpfel,
TPJS,härdöpfel,,
TPQP,hördöpfel,,
TPTK,härdöpfel,,
TPVA,härdöpfel,,
TQKV,härdepfel,,
TRDS,hädöpfel,,hädepfel
TRYJ,härdöpfel,,
