UID,V1,V2,COMMENTS
XSVA,rugge,,
XSXQ,rügge,,
XTPT,rugge,,
XTSM,rügge,,
XUAK,rügge,,
XVBP,rugge,,
XVHT,rügge,,
XVRH,rügge,,
XVTI,rügge,,
XVXT,rigg,,
XXCT,rugge,,
XYCB,rugge,,
XYEE,rügge,,
XYEK,rügge,,
XYMB,rugge,,
XZKG,rugge,,
YBWQ,rügge,,
YCXF,rügge,,
YDIO,rugge,,
YDPY,rugge,,
YDQV,rügge,,
YDSB,rigg,,
YECE,rügge,,
YELS,rigg,,
YFEF,rügg,,
YFQM,rügge,,
YFTY,rügge,,
YGDB,rigg,,
YGDZ,rigge,,
YGIV,rugge,,
YGXH,rügg,,
YGYR,rigge,,
YHSV,rügge,,
YIIZ,rügge,,
YIKI,rugge,,
YIRI,rügge,,
YJHC,rügge,,
YJSI,rügge,,
YKFP,rügge,,
YLOG,rügg,,
YLYK,rugge,,
YMLU,rugge,,
YMTU,rugge,,
YNDU,rugge,,
YOFQ,rügge,,
YOGB,rugge,,
YPDC,rugge,,
YPWC,rigge,,riggu
YQIB,rügge,,
YRCD,rugge,,
YRWJ,rügge,,
YRYC,rugge,,
YUAF,rugge,,
YVTX,rügge,,
YXMA,rügge,,
YXRN,rugge,,
YYYI,rugge,,
YZVT,rugge,,
YZZH,rügge,,
ZAAX,rügge,,
ZAHZ,rugge,,
ZBAS,rugge,,
ZCEZ,rügge,,
ZCNV,rügge,,
ZCOU,rügge,,
ZDGL,rügge,,
ZEWN,rigg,,
ZFDB,rügge,,
ZFMD,rügge,,
ZFOJ,rugge,,
ZFWF,rugge,,
ZGBL,rügge,,
ZGNM,rigg,,
ZGQY,rugge,,
ZGYT,rügge,,
ZHCJ,rügge,,
ZHRR,rugge,,
ZIOD,rugge,,
ZISL,rügge,,
ZJFT,rügge,,
ZJOB,rügge,,
ZKCK,rugge,,
ZKMF,rügge,,
ZKZN,rugge,,
ZLFM,rügge,,
ZLKX,rügg,,
ZLZD,rügge,,
ZMCX,rigg,,
ZOLO,rügge,,
ZPCZ,rügge,,
ZPGU,rigge,,
ZPMN,rugge,,
ZPWK,rugge,,
ZPWZ,rugge,,
ZQMH,rügge,,
ZQTC,rigge,,
ZRRB,rugge,,
ZRWA,rügge,,
ZSMF,rügge,,
ZTBJ,rügge,,
ZTLY,rügge,,
ZUYN,rugge,,
ZVDJ,rigg,,
ZVMY,rugge,,
ZVYB,rugge,,
ZWLT,rugge,,
ZXKI,rugge,,
ZYHQ,rugge,,
ZYKF,rigg,,
ZZSM,rugge,,
